Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
MiniCartActions.hoverOnMiniCartLink(),Chrome 97.0.4692.71,,,2022-01-15 11:07:33,2022-01-15 11:07:34,0.494s,PASSED
MiniCartValidations.verifyHoverStyleOnMiniCartLink(),Chrome 97.0.4692.71,,,2022-01-15 11:07:34,2022-01-15 11:07:35,0.807s,PASSED
MiniCartValidations.verifyMiniCartTotals(),Chrome 97.0.4692.71,,,2022-01-15 11:07:35,2022-01-15 11:07:37,2.088s,PASSED
MiniCartValidations.miniCartItemCount(),Chrome 97.0.4692.71,,,2022-01-15 11:07:37,2022-01-15 11:07:38,0.833s,PASSED
ShoppingCartValidations.verifyShoppingCartItemEqualMiniCartBadge(),Chrome 97.0.4692.71,,,2022-01-15 11:07:38,2022-01-15 11:07:39,0.865s,PASSED
ShoppingCartValidations.verifyShoppingCartItemEqualToSummaryItem(),Chrome 97.0.4692.71,,,2022-01-15 11:07:39,2022-01-15 11:07:39,0.840s,PASSED
ShoppingCartValidations.verifyTotalPriceForProductTable(),Chrome 97.0.4692.71,,,2022-01-15 11:07:39,2022-01-15 11:07:41,1.711s,PASSED
ShoppingCartValidations.verifyTotalPriceInSummaryTable(),Chrome 97.0.4692.71,,,2022-01-15 11:07:41,2022-01-15 11:07:42,0.715s,PASSED
QuickOrderHelpers.verifyShoppingCartProductsSameWithStoredProducts(),Chrome 97.0.4692.71,,,2022-01-15 11:07:42,2022-01-15 11:07:44,2.536s,PASSED
ShoppingCartHelpers.navigateToCheckoutPage(),Chrome 97.0.4692.71,,,2022-01-15 11:07:44,2022-01-15 11:07:48,3.817s,PASSED
CheckoutPageValidation.verifyNaigationTOCheckOut(),Chrome 97.0.4692.71,,,2022-01-15 11:07:48,2022-01-15 11:07:50,1.382s,PASSED
CheckoutPageHelpers.initCheckoutPage(),Chrome 97.0.4692.71,,,2022-01-15 11:07:50,2022-01-15 11:08:04,14.131s,FAILED
,,,,,,,
Test Cases/Checkout Scenario/Category,Chrome 97.0.4692.71,,,2022-01-15 11:08:04,2022-01-15 11:09:38,1m - 34.527s,PASSED
GeneralHelpers.initScenario(),Chrome 97.0.4692.71,,,2022-01-15 11:08:04,2022-01-15 11:08:18,14.373s,PASSED
"computerRegister = ""Object Repository/Category/a_ComputerRegister""",Chrome 97.0.4692.71,,,2022-01-15 11:08:18,2022-01-15 11:08:18,0.018s,PASSED
CategoryScActions.hovertags(),Chrome 97.0.4692.71,,,2022-01-15 11:08:18,2022-01-15 11:08:19,0.776s,PASSED
CategorySCHelpers.navigateComputerRegister(),Chrome 97.0.4692.71,,,2022-01-15 11:08:19,2022-01-15 11:08:26,6.370s,PASSED
CategoryValidations.validatespanText(computerRegisterspan),Chrome 97.0.4692.71,,,2022-01-15 11:08:26,2022-01-15 11:08:28,2.634s,PASSED
