Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Checkout,Chrome 97.0.4692.71,,,2022-01-15 19:33:57,2022-01-15 19:41:01,7m - 3.310s,FAILED
,,,,,,,
Test Cases/Checkout Scenario/Product Details,Chrome 97.0.4692.71,,,2022-01-15 19:33:58,2022-01-15 19:36:36,2m - 38.159s,FAILED
GeneralHelpers.initScenario(),Chrome 97.0.4692.71,,,2022-01-15 19:33:59,2022-01-15 19:34:31,31.767s,PASSED
GeneralHelpers.headerSearchFillAndClick(),Chrome 97.0.4692.71,,,2022-01-15 19:34:31,2022-01-15 19:34:41,9.731s,PASSED
GeneralHelpers.navigateToResultPage(),Chrome 97.0.4692.71,,,2022-01-15 19:34:41,2022-01-15 19:34:46,5.504s,PASSED
SearchResultPageValidations.verifyDefaultValues(),Chrome 97.0.4692.71,,,2022-01-15 19:34:46,2022-01-15 19:35:08,21.276s,PASSED
SearchResultHelper.checkSearchPagePagination(),Chrome 97.0.4692.71,,,2022-01-15 19:35:08,2022-01-15 19:35:10,2.092s,PASSED
SearchResultHelper.selectProductFilters(),Chrome 97.0.4692.71,,,2022-01-15 19:35:10,2022-01-15 19:35:20,10.517s,PASSED
SearchResultPageActions.NavigateToProductDetailsPage(),Chrome 97.0.4692.71,,,2022-01-15 19:35:20,2022-01-15 19:35:29,8.880s,PASSED
ProductDetailsHelpers.initProductDetailsPage(),Chrome 97.0.4692.71,,,2022-01-15 19:35:29,2022-01-15 19:35:36,6.949s,PASSED
ProductDetailsHelpers.hoverEffectAndClickXLargeSizeLink(),Chrome 97.0.4692.71,,,2022-01-15 19:35:36,2022-01-15 19:35:47,10.926s,PASSED
ProductDetailsHelpers.selectGreenColor(),Chrome 97.0.4692.71,,,2022-01-15 19:35:47,2022-01-15 19:35:51,4.176s,PASSED
ProductDetailsHelpers.addProductToCart(),Chrome 97.0.4692.71,,,2022-01-15 19:35:51,2022-01-15 19:35:55,3.374s,PASSED
MiniCartHelpers.hoverOnMiniCartHeader(),Chrome 97.0.4692.71,,,2022-01-15 19:35:55,2022-01-15 19:36:02,7.176s,PASSED
ProductDetailsHelpers.hoverEffectAndClickLargeSizeLink(),Chrome 97.0.4692.71,,,2022-01-15 19:36:02,2022-01-15 19:36:36,34.445s,FAILED
,,,,,,,
Test Cases/Checkout Scenario/Category,Chrome 97.0.4692.71,,,2022-01-15 19:36:36,2022-01-15 19:38:23,1m - 46.597s,PASSED
GeneralHelpers.initScenario(),Chrome 97.0.4692.71,,,2022-01-15 19:36:37,2022-01-15 19:36:56,19.693s,PASSED
"computerRegister = ""Object Repository/Category/a_ComputerRegister""",Chrome 97.0.4692.71,,,2022-01-15 19:36:56,2022-01-15 19:36:56,0.002s,PASSED
CategoryScActions.hovertags(),Chrome 97.0.4692.71,,,2022-01-15 19:36:56,2022-01-15 19:36:58,1.938s,PASSED
CategorySCHelpers.navigateComputerRegister(),Chrome 97.0.4692.71,,,2022-01-15 19:36:58,2022-01-15 19:37:03,5.308s,PASSED
CategoryValidations.validatespanText(computerRegisterspan),Chrome 97.0.4692.71,,,2022-01-15 19:37:03,2022-01-15 19:37:05,1.351s,PASSED
CategoryScActions.getDefaultProjectCategoryFilter(expectedProductNum),Chrome 97.0.4692.71,,,2022-01-15 19:37:05,2022-01-15 19:37:07,1.988s,PASSED
CategoryScActions.getDefaultValueOfSortBy(sortByDefault),Chrome 97.0.4692.71,,,2022-01-15 19:37:07,2022-01-15 19:37:07,0.389s,PASSED
CategoryScActions.getDefaultManufacturar(manufacturarDefault),Chrome 97.0.4692.71,,,2022-01-15 19:37:07,2022-01-15 19:37:08,0.423s,PASSED
CategoryScActions.getDefaultModal(defaultmodal),Chrome 97.0.4692.71,,,2022-01-15 19:37:08,2022-01-15 19:37:08,0.409s,PASSED
CategoryScActions.clickOnManuWithassertOPened(menuExpandValue),Chrome 97.0.4692.71,,,2022-01-15 19:37:08,2022-01-15 19:37:09,1.016s,PASSED
CategorySCHelpers.selectCasioManufacturar(),Chrome 97.0.4692.71,,,2022-01-15 19:37:09,2022-01-15 19:37:11,2.445s,PASSED
CategorySCHelpers.selectModalsp1000(),Chrome 97.0.4692.71,,,2022-01-15 19:37:11,2022-01-15 19:37:16,4.433s,PASSED
CategorySCHelpers.EnterCasioSP1000Product(),Chrome 97.0.4692.71,,,2022-01-15 19:37:16,2022-01-15 19:37:24,7.653s,PASSED
CategorySCHelpers.ValidateCasioSP1000ProductDetails(),Chrome 97.0.4692.71,,,2022-01-15 19:37:24,2022-01-15 19:37:25,1.454s,PASSED
CategorySCHelpers.enterTenItemsFromProduct(),Chrome 97.0.4692.71,,,2022-01-15 19:37:25,2022-01-15 19:37:31,5.746s,PASSED
CategorySCHelpers.checkMeniCartBadge(),Chrome 97.0.4692.71,,,2022-01-15 19:37:31,2022-01-15 19:37:31,0.423s,PASSED
CategorySCHelpers.navigateToCart(),Chrome 97.0.4692.71,,,2022-01-15 19:37:31,2022-01-15 19:37:37,5.672s,PASSED
"navigateToUrl(""https://www.cleanersupply.com/checkout/"")",Chrome 97.0.4692.71,,,2022-01-15 19:37:37,2022-01-15 19:37:38,1.463s,PASSED
maximizeWindow(),Chrome 97.0.4692.71,,,2022-01-15 19:37:38,2022-01-15 19:37:38,0.141s,PASSED
checkOutFormHelper.fillCheckOutForm(),Chrome 97.0.4692.71,,,2022-01-15 19:37:38,2022-01-15 19:38:23,44.315s,PASSED
,,,,,,,
Test Cases/Checkout Scenario/Quick Order,Chrome 97.0.4692.71,,,2022-01-15 19:38:23,2022-01-15 19:41:01,2m - 37.876s,PASSED
