Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Header,Chrome 97.0.4692.71,,,2022-01-15 18:01:05,2022-01-15 18:01:54,48.444s,PASSED
,,,,,,,
Test Cases/Header/Primary Header TC,Chrome 97.0.4692.71,,,2022-01-15 18:01:06,2022-01-15 18:01:54,47.915s,PASSED
GeneralHelpers.initScenario(),Chrome 97.0.4692.71,,,2022-01-15 18:01:06,2022-01-15 18:01:27,21.174s,PASSED
PrimaryHeaderHelpers.topNav(),Chrome 97.0.4692.71,,,2022-01-15 18:01:27,2022-01-15 18:01:34,6.515s,PASSED
PrimaryHeaderHelpers.rightLinkehoverEffect(),Chrome 97.0.4692.71,,,2022-01-15 18:01:34,2022-01-15 18:01:37,3.494s,PASSED
PrimaryHeaderHelpers.cartLinkHover(),Chrome 97.0.4692.71,,,2022-01-15 18:01:37,2022-01-15 18:01:40,2.620s,PASSED
PrimaryHeaderHelpers.myAccountButton(),Chrome 97.0.4692.71,,,2022-01-15 18:01:40,2022-01-15 18:01:41,1.458s,PASSED
PrimaryHeaderHelpers.headerTopBar(),Chrome 97.0.4692.71,,,2022-01-15 18:01:41,2022-01-15 18:01:46,4.358s,PASSED
PrimaryHeaderHelpers.shippingDetailsAction(),Chrome 97.0.4692.71,,,2022-01-15 18:01:46,2022-01-15 18:01:47,0.969s,PASSED
PrimaryHeaderHelpers.customerService(),Chrome 97.0.4692.71,,,2022-01-15 18:01:47,2022-01-15 18:01:50,3.076s,PASSED
PrimaryHeaderHelpers.customerServiceLinkAction(),Chrome 97.0.4692.71,,,2022-01-15 18:01:50,2022-01-15 18:01:51,0.863s,PASSED
closeBrowser(),Chrome 97.0.4692.71,,,2022-01-15 18:01:51,2022-01-15 18:01:51,0.231s,PASSED
Video,Chrome 97.0.4692.71,,,2022-01-15 18:01:54,2022-01-15 18:01:54,0.006s,PASSED
