Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Footer,Chrome 97.0.4692.71,,,2022-01-17 13:05:19,2022-01-17 13:06:41,1m - 22.468s,PASSED
,,,,,,,
Test Cases/Footer/Footer TC,Chrome 97.0.4692.71,,,2022-01-17 13:05:19,2022-01-17 13:06:41,1m - 22.018s,PASSED
GeneralHelpers.initScenario(),Chrome 97.0.4692.71,,,2022-01-17 13:05:20,2022-01-17 13:05:36,15.824s,PASSED
defaultFooterValidatins.verifyExistingOftopFooterImage(),Chrome 97.0.4692.71,,,2022-01-17 13:05:36,2022-01-17 13:05:39,3.092s,PASSED
defaultFooterValidatins.verifyBackGroundandMaxHeightOfTopFooter(),Chrome 97.0.4692.71,,,2022-01-17 13:05:39,2022-01-17 13:05:40,1.134s,PASSED
defaultFooterValidatins.verifyExistingOffooterBody(),Chrome 97.0.4692.71,,,2022-01-17 13:05:40,2022-01-17 13:05:40,0.511s,PASSED
defaultFooterValidatins.verifyBackGroundandPaddingOfFooterBody(),Chrome 97.0.4692.71,,,2022-01-17 13:05:40,2022-01-17 13:05:41,0.344s,PASSED
defaultFooterValidatins.verifyExistingOffooterBodyRightColomn(),Chrome 97.0.4692.71,,,2022-01-17 13:05:41,2022-01-17 13:05:41,0.421s,PASSED
defaultFooterValidatins.verifyExistingOffooterBodyMiddleColomn(),Chrome 97.0.4692.71,,,2022-01-17 13:05:41,2022-01-17 13:05:42,0.306s,PASSED
defaultFooterValidatins.verifyExistingOffooterBodyLeftColomn(),Chrome 97.0.4692.71,,,2022-01-17 13:05:42,2022-01-17 13:05:42,0.310s,PASSED
defaultFooterValidatins.verifyRequestCatalogueLink(),Chrome 97.0.4692.71,,,2022-01-17 13:05:42,2022-01-17 13:05:50,7.680s,PASSED
defaultFooterValidatins.verifycassifiedListLink(),Chrome 97.0.4692.71,,,2022-01-17 13:05:50,2022-01-17 13:05:57,7.401s,PASSED
