Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Checkout,Firefox 95.0,,,2022-01-15 18:22:32,2022-01-15 18:26:31,3m - 58.954s,FAILED
,,,,,,,
Test Cases/Checkout Scenario/Product Details,Firefox 95.0,,,2022-01-15 18:22:32,2022-01-15 18:24:45,2m - 12.670s,FAILED
GeneralHelpers.initScenario(),Firefox 95.0,,,2022-01-15 18:22:33,2022-01-15 18:22:49,15.949s,PASSED
GeneralHelpers.headerSearchFillAndClick(),Firefox 95.0,,,2022-01-15 18:22:49,2022-01-15 18:22:58,9.453s,PASSED
GeneralHelpers.navigateToResultPage(),Firefox 95.0,,,2022-01-15 18:22:58,2022-01-15 18:23:01,3.468s,PASSED
SearchResultPageValidations.verifyDefaultValues(),Firefox 95.0,,,2022-01-15 18:23:01,2022-01-15 18:23:09,7.770s,PASSED
SearchResultHelper.checkSearchPagePagination(),Firefox 95.0,,,2022-01-15 18:23:09,2022-01-15 18:23:11,2.165s,PASSED
SearchResultHelper.selectProductFilters(),Firefox 95.0,,,2022-01-15 18:23:11,2022-01-15 18:23:21,9.309s,PASSED
SearchResultPageActions.NavigateToProductDetailsPage(),Firefox 95.0,,,2022-01-15 18:23:21,2022-01-15 18:23:25,4.267s,PASSED
ProductDetailsHelpers.initProductDetailsPage(),Firefox 95.0,,,2022-01-15 18:23:25,2022-01-15 18:23:32,6.879s,PASSED
ProductDetailsHelpers.hoverEffectAndClickXLargeSizeLink(),Firefox 95.0,,,2022-01-15 18:23:32,2022-01-15 18:23:40,8.459s,PASSED
ProductDetailsHelpers.selectGreenColor(),Firefox 95.0,,,2022-01-15 18:23:40,2022-01-15 18:23:43,3.158s,PASSED
ProductDetailsHelpers.addProductToCart(),Firefox 95.0,,,2022-01-15 18:23:43,2022-01-15 18:23:46,2.405s,PASSED
MiniCartHelpers.hoverOnMiniCartHeader(),Firefox 95.0,,,2022-01-15 18:23:46,2022-01-15 18:23:51,5.073s,PASSED
ProductDetailsHelpers.hoverEffectAndClickLargeSizeLink(),Firefox 95.0,,,2022-01-15 18:23:51,2022-01-15 18:23:58,6.860s,PASSED
ProductDetailsHelpers.selectRoyalBlueColor(),Firefox 95.0,,,2022-01-15 18:23:58,2022-01-15 18:24:01,2.756s,PASSED
