Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Header,Chrome 97.0.4692.71,,,2022-01-15 18:14:17,2022-01-15 18:15:12,55.221s,PASSED
,,,,,,,
Test Cases/Header/Primary Header TC,Chrome 97.0.4692.71,,,2022-01-15 18:14:17,2022-01-15 18:15:12,54.758s,PASSED
GeneralHelpers.initScenario(),Chrome 97.0.4692.71,,,2022-01-15 18:14:18,2022-01-15 18:14:46,28.484s,PASSED
PrimaryHeaderHelpers.topNav(),Chrome 97.0.4692.71,,,2022-01-15 18:14:46,2022-01-15 18:14:52,5.989s,PASSED
PrimaryHeaderHelpers.rightLinkehoverEffect(),Chrome 97.0.4692.71,,,2022-01-15 18:14:52,2022-01-15 18:14:55,3.219s,PASSED
PrimaryHeaderHelpers.cartLinkHover(),Chrome 97.0.4692.71,,,2022-01-15 18:14:55,2022-01-15 18:14:58,2.141s,PASSED
PrimaryHeaderHelpers.myAccountButton(),Chrome 97.0.4692.71,,,2022-01-15 18:14:58,2022-01-15 18:14:59,1.569s,PASSED
PrimaryHeaderHelpers.headerTopBar(),Chrome 97.0.4692.71,,,2022-01-15 18:14:59,2022-01-15 18:15:04,5.034s,PASSED
PrimaryHeaderHelpers.shippingDetailsAction(),Chrome 97.0.4692.71,,,2022-01-15 18:15:04,2022-01-15 18:15:05,1.262s,PASSED
PrimaryHeaderHelpers.customerService(),Chrome 97.0.4692.71,,,2022-01-15 18:15:05,2022-01-15 18:15:08,2.514s,PASSED
PrimaryHeaderHelpers.customerServiceLinkAction(),Chrome 97.0.4692.71,,,2022-01-15 18:15:08,2022-01-15 18:15:09,0.944s,PASSED
closeBrowser(),Chrome 97.0.4692.71,,,2022-01-15 18:15:09,2022-01-15 18:15:09,0.263s,PASSED
Video,Chrome 97.0.4692.71,,,2022-01-15 18:15:12,2022-01-15 18:15:12,0.004s,PASSED
