Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Checkout,Firefox 95.0,,,2022-01-16 00:24:52,2022-01-16 00:31:33,6m - 41.321s,PASSED
,,,,,,,
Test Cases/Checkout Scenario/Product Details,Firefox 95.0,,,2022-01-16 00:24:52,2022-01-16 00:27:44,2m - 52.475s,PASSED
GeneralHelpers.initScenario(),Firefox 95.0,,,2022-01-16 00:24:52,2022-01-16 00:25:08,16.030s,PASSED
GeneralHelpers.headerSearchFillAndClick(),Firefox 95.0,,,2022-01-16 00:25:08,2022-01-16 00:25:17,8.876s,PASSED
GeneralHelpers.navigateToResultPage(),Firefox 95.0,,,2022-01-16 00:25:17,2022-01-16 00:25:21,3.303s,PASSED
SearchResultPageValidations.verifyDefaultValues(),Firefox 95.0,,,2022-01-16 00:25:21,2022-01-16 00:25:28,7.507s,PASSED
SearchResultHelper.checkSearchPagePagination(),Firefox 95.0,,,2022-01-16 00:25:28,2022-01-16 00:25:30,1.949s,PASSED
SearchResultHelper.selectProductFilters(),Firefox 95.0,,,2022-01-16 00:25:30,2022-01-16 00:25:40,9.513s,PASSED
SearchResultPageActions.NavigateToProductDetailsPage(),Firefox 95.0,,,2022-01-16 00:25:40,2022-01-16 00:25:47,7.025s,PASSED
ProductDetailsHelpers.initProductDetailsPage(),Firefox 95.0,,,2022-01-16 00:25:47,2022-01-16 00:25:53,5.930s,PASSED
ProductDetailsHelpers.hoverEffectAndClickXLargeSizeLink(),Firefox 95.0,,,2022-01-16 00:25:53,2022-01-16 00:26:01,8.048s,PASSED
ProductDetailsHelpers.selectGreenColor(),Firefox 95.0,,,2022-01-16 00:26:01,2022-01-16 00:26:04,3.259s,PASSED
ProductDetailsHelpers.addProductToCart(),Firefox 95.0,,,2022-01-16 00:26:04,2022-01-16 00:26:07,2.963s,PASSED
MiniCartHelpers.hoverOnMiniCartHeader(),Firefox 95.0,,,2022-01-16 00:26:07,2022-01-16 00:26:12,4.971s,PASSED
ProductDetailsHelpers.hoverEffectAndClickLargeSizeLink(),Firefox 95.0,,,2022-01-16 00:26:12,2022-01-16 00:26:19,6.910s,PASSED
ProductDetailsHelpers.selectRoyalBlueColor(),Firefox 95.0,,,2022-01-16 00:26:19,2022-01-16 00:26:22,3.330s,PASSED
ProductDetailsHelpers.addProductToCart(),Firefox 95.0,,,2022-01-16 00:26:22,2022-01-16 00:26:25,2.707s,PASSED
MiniCartHelpers.hoverOnMiniCartHeader(),Firefox 95.0,,,2022-01-16 00:26:25,2022-01-16 00:26:30,5.477s,PASSED
MiniCartActions.navigateToCartPage(),Firefox 95.0,,,2022-01-16 00:26:30,2022-01-16 00:26:33,2.738s,PASSED
ShoppingCartHelpers.navigateToCartPage(),Firefox 95.0,,,2022-01-16 00:26:33,2022-01-16 00:26:39,6.225s,PASSED
ShoppingCartHelpers.updateQuantities(),Firefox 95.0,,,2022-01-16 00:26:39,2022-01-16 00:26:44,4.738s,PASSED
ShoppingCartHelpers.navigateToCheckoutPage(),Firefox 95.0,,,2022-01-16 00:26:44,2022-01-16 00:26:47,3.423s,PASSED
CheckoutPageHelpers.initCheckoutPage(),Firefox 95.0,,,2022-01-16 00:26:47,2022-01-16 00:27:03,15.252s,PASSED
