Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Checkout,Chrome 97.0.4692.71,,,2022-01-17 12:58:21,2022-01-17 13:05:10,6m - 49.443s,FAILED
,,,,,,,
Test Cases/Checkout Scenario/Product Details,Chrome 97.0.4692.71,,,2022-01-17 12:58:21,2022-01-17 13:01:04,2m - 42.995s,FAILED
GeneralHelpers.initScenario(),Chrome 97.0.4692.71,,,2022-01-17 12:58:21,2022-01-17 12:58:39,17.282s,PASSED
GeneralHelpers.headerSearchFillAndClick(),Chrome 97.0.4692.71,,,2022-01-17 12:58:39,2022-01-17 12:58:48,9.349s,PASSED
GeneralHelpers.navigateToResultPage(),Chrome 97.0.4692.71,,,2022-01-17 12:58:48,2022-01-17 12:58:51,2.553s,PASSED
SearchResultPageValidations.verifyDefaultValues(),Chrome 97.0.4692.71,,,2022-01-17 12:58:51,2022-01-17 12:58:59,8.518s,PASSED
SearchResultHelper.checkSearchPagePagination(),Chrome 97.0.4692.71,,,2022-01-17 12:58:59,2022-01-17 12:59:01,2.299s,PASSED
SearchResultHelper.selectProductFilters(),Chrome 97.0.4692.71,,,2022-01-17 12:59:01,2022-01-17 12:59:12,10.536s,PASSED
SearchResultPageActions.NavigateToProductDetailsPage(),Chrome 97.0.4692.71,,,2022-01-17 12:59:12,2022-01-17 12:59:18,5.942s,PASSED
ProductDetailsHelpers.initProductDetailsPage(),Chrome 97.0.4692.71,,,2022-01-17 12:59:18,2022-01-17 12:59:26,7.704s,PASSED
ProductDetailsHelpers.hoverEffectAndClickXLargeSizeLink(),Chrome 97.0.4692.71,,,2022-01-17 12:59:26,2022-01-17 12:59:36,10.249s,PASSED
ProductDetailsHelpers.selectGreenColor(),Chrome 97.0.4692.71,,,2022-01-17 12:59:36,2022-01-17 12:59:40,3.585s,PASSED
ProductDetailsHelpers.addProductToCart(),Chrome 97.0.4692.71,,,2022-01-17 12:59:40,2022-01-17 12:59:42,2.773s,PASSED
MiniCartHelpers.hoverOnMiniCartHeader(),Chrome 97.0.4692.71,,,2022-01-17 12:59:42,2022-01-17 12:59:49,6.963s,PASSED
ProductDetailsHelpers.hoverEffectAndClickLargeSizeLink(),Chrome 97.0.4692.71,,,2022-01-17 12:59:49,2022-01-17 12:59:58,9.191s,PASSED
ProductDetailsHelpers.selectRoyalBlueColor(),Chrome 97.0.4692.71,,,2022-01-17 12:59:58,2022-01-17 13:00:02,3.913s,PASSED
