Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Header,Firefox 95.0,,,2022-01-15 18:26:53,2022-01-15 18:27:29,35.835s,PASSED
,,,,,,,
Test Cases/Header/Primary Header TC,Firefox 95.0,,,2022-01-15 18:26:53,2022-01-15 18:27:29,35.398s,PASSED
GeneralHelpers.initScenario(),Firefox 95.0,,,2022-01-15 18:26:54,2022-01-15 18:27:09,15.653s,PASSED
PrimaryHeaderHelpers.topNav(),Firefox 95.0,,,2022-01-15 18:27:09,2022-01-15 18:27:16,6.398s,PASSED
PrimaryHeaderHelpers.rightLinkehoverEffect(),Firefox 95.0,,,2022-01-15 18:27:16,2022-01-15 18:27:18,2.322s,PASSED
PrimaryHeaderHelpers.cartLinkHover(),Firefox 95.0,,,2022-01-15 18:27:18,2022-01-15 18:27:20,1.887s,PASSED
PrimaryHeaderHelpers.myAccountButton(),Firefox 95.0,,,2022-01-15 18:27:20,2022-01-15 18:27:21,1.184s,PASSED
PrimaryHeaderHelpers.headerTopBar(),Firefox 95.0,,,2022-01-15 18:27:21,2022-01-15 18:27:24,3.252s,PASSED
PrimaryHeaderHelpers.shippingDetailsAction(),Firefox 95.0,,,2022-01-15 18:27:24,2022-01-15 18:27:25,0.890s,PASSED
PrimaryHeaderHelpers.customerService(),Firefox 95.0,,,2022-01-15 18:27:25,2022-01-15 18:27:27,2.001s,PASSED
PrimaryHeaderHelpers.customerServiceLinkAction(),Firefox 95.0,,,2022-01-15 18:27:27,2022-01-15 18:27:28,0.716s,PASSED
closeBrowser(),Firefox 95.0,,,2022-01-15 18:27:28,2022-01-15 18:27:29,0.664s,PASSED
Video,Firefox 95.0,,,2022-01-15 18:27:29,2022-01-15 18:27:29,0.002s,PASSED
