Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Header,Chrome 97.0.4692.71,,,2022-01-16 00:12:00,2022-01-16 00:13:16,1m - 16.424s,PASSED
,,,,,,,
Test Cases/Header/Primary Header TC,Chrome 97.0.4692.71,,,2022-01-16 00:12:00,2022-01-16 00:13:16,1m - 16.013s,PASSED
GeneralHelpers.initScenario(),Chrome 97.0.4692.71,,,2022-01-16 00:12:01,2022-01-16 00:12:50,49.683s,PASSED
PrimaryHeaderHelpers.topNav(),Chrome 97.0.4692.71,,,2022-01-16 00:12:50,2022-01-16 00:12:56,5.172s,PASSED
PrimaryHeaderHelpers.rightLinkehoverEffect(),Chrome 97.0.4692.71,,,2022-01-16 00:12:56,2022-01-16 00:12:59,3.110s,PASSED
PrimaryHeaderHelpers.cartLinkHover(),Chrome 97.0.4692.71,,,2022-01-16 00:12:59,2022-01-16 00:13:01,2.676s,PASSED
PrimaryHeaderHelpers.myAccountButton(),Chrome 97.0.4692.71,,,2022-01-16 00:13:01,2022-01-16 00:13:03,1.571s,PASSED
PrimaryHeaderHelpers.headerTopBar(),Chrome 97.0.4692.71,,,2022-01-16 00:13:03,2022-01-16 00:13:07,4.099s,PASSED
PrimaryHeaderHelpers.shippingDetailsAction(),Chrome 97.0.4692.71,,,2022-01-16 00:13:07,2022-01-16 00:13:08,0.859s,PASSED
PrimaryHeaderHelpers.customerService(),Chrome 97.0.4692.71,,,2022-01-16 00:13:08,2022-01-16 00:13:11,3.382s,PASSED
PrimaryHeaderHelpers.customerServiceLinkAction(),Chrome 97.0.4692.71,,,2022-01-16 00:13:11,2022-01-16 00:13:13,1.198s,PASSED
closeBrowser(),Chrome 97.0.4692.71,,,2022-01-16 00:13:13,2022-01-16 00:13:13,0.173s,PASSED
Video,Chrome 97.0.4692.71,,,2022-01-16 00:13:16,2022-01-16 00:13:16,0.005s,PASSED
