Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Checkout,Chrome 97.0.4692.71,,,2022-01-16 00:13:25,2022-01-16 00:20:44,7m - 19.703s,FAILED
,,,,,,,
Test Cases/Checkout Scenario/Product Details,Chrome 97.0.4692.71,,,2022-01-16 00:13:25,2022-01-16 00:17:03,3m - 37.849s,PASSED
GeneralHelpers.initScenario(),Chrome 97.0.4692.71,,,2022-01-16 00:13:26,2022-01-16 00:13:46,20.403s,PASSED
GeneralHelpers.headerSearchFillAndClick(),Chrome 97.0.4692.71,,,2022-01-16 00:13:46,2022-01-16 00:13:58,11.878s,PASSED
GeneralHelpers.navigateToResultPage(),Chrome 97.0.4692.71,,,2022-01-16 00:13:58,2022-01-16 00:14:00,2.404s,PASSED
SearchResultPageValidations.verifyDefaultValues(),Chrome 97.0.4692.71,,,2022-01-16 00:14:00,2022-01-16 00:14:09,8.683s,PASSED
SearchResultHelper.checkSearchPagePagination(),Chrome 97.0.4692.71,,,2022-01-16 00:14:09,2022-01-16 00:14:12,2.445s,PASSED
SearchResultHelper.selectProductFilters(),Chrome 97.0.4692.71,,,2022-01-16 00:14:12,2022-01-16 00:14:22,10.630s,PASSED
SearchResultPageActions.NavigateToProductDetailsPage(),Chrome 97.0.4692.71,,,2022-01-16 00:14:22,2022-01-16 00:14:29,6.582s,PASSED
ProductDetailsHelpers.initProductDetailsPage(),Chrome 97.0.4692.71,,,2022-01-16 00:14:29,2022-01-16 00:14:36,7.267s,PASSED
ProductDetailsHelpers.hoverEffectAndClickXLargeSizeLink(),Chrome 97.0.4692.71,,,2022-01-16 00:14:36,2022-01-16 00:14:47,10.801s,PASSED
ProductDetailsHelpers.selectGreenColor(),Chrome 97.0.4692.71,,,2022-01-16 00:14:47,2022-01-16 00:14:50,3.063s,PASSED
ProductDetailsHelpers.addProductToCart(),Chrome 97.0.4692.71,,,2022-01-16 00:14:50,2022-01-16 00:14:53,2.714s,PASSED
MiniCartHelpers.hoverOnMiniCartHeader(),Chrome 97.0.4692.71,,,2022-01-16 00:14:53,2022-01-16 00:14:59,6.535s,PASSED
ProductDetailsHelpers.hoverEffectAndClickLargeSizeLink(),Chrome 97.0.4692.71,,,2022-01-16 00:14:59,2022-01-16 00:15:07,8.221s,PASSED
ProductDetailsHelpers.selectRoyalBlueColor(),Chrome 97.0.4692.71,,,2022-01-16 00:15:07,2022-01-16 00:15:11,3.385s,PASSED
ProductDetailsHelpers.addProductToCart(),Chrome 97.0.4692.71,,,2022-01-16 00:15:11,2022-01-16 00:15:14,2.827s,PASSED
MiniCartHelpers.hoverOnMiniCartHeader(),Chrome 97.0.4692.71,,,2022-01-16 00:15:14,2022-01-16 00:15:20,6.851s,PASSED
MiniCartActions.navigateToCartPage(),Chrome 97.0.4692.71,,,2022-01-16 00:15:20,2022-01-16 00:15:27,6.119s,PASSED
ShoppingCartHelpers.navigateToCartPage(),Chrome 97.0.4692.71,,,2022-01-16 00:15:27,2022-01-16 00:15:32,5.955s,PASSED
