Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Header,Firefox 95.0,,,2022-01-17 13:11:23,2022-01-17 13:14:00,2m - 36.666s,PASSED
,,,,,,,
Test Cases/Header/Primary Header TC,Firefox 95.0,,,2022-01-17 13:11:23,2022-01-17 13:12:36,1m - 12.994s,PASSED
GeneralHelpers.initScenario(),Firefox 95.0,,,2022-01-17 13:11:24,2022-01-17 13:11:37,13.371s,PASSED
PrimaryHeaderHelpers.topNav(),Firefox 95.0,,,2022-01-17 13:11:37,2022-01-17 13:11:43,5.617s,PASSED
PrimaryHeaderHelpers.NavigateToHomePageUsingLogo(),Firefox 95.0,,,2022-01-17 13:11:43,2022-01-17 13:11:46,2.993s,PASSED
PrimaryHeaderHelpers.rightLinkehoverEffect(),Firefox 95.0,,,2022-01-17 13:11:46,2022-01-17 13:11:49,3.111s,PASSED
PrimaryHeaderHelpers.cartLinkHover(),Firefox 95.0,,,2022-01-17 13:11:49,2022-01-17 13:11:51,2.005s,PASSED
PrimaryHeaderHelpers.myAccountButton(),Firefox 95.0,,,2022-01-17 13:11:51,2022-01-17 13:11:52,1.195s,PASSED
PrimaryHeaderHelpers.navigateToQuickOrder(),Firefox 95.0,,,2022-01-17 13:11:52,2022-01-17 13:11:56,3.385s,PASSED
PrimaryHeaderHelpers.NavigateToHomePageUsingLogo(),Firefox 95.0,,,2022-01-17 13:11:56,2022-01-17 13:11:59,3.677s,PASSED
PrimaryHeaderHelpers.navigateToReOrderPage(),Firefox 95.0,,,2022-01-17 13:11:59,2022-01-17 13:12:03,3.989s,PASSED
PrimaryHeaderHelpers.NavigateToHomePageUsingLogo(),Firefox 95.0,,,2022-01-17 13:12:03,2022-01-17 13:12:07,3.854s,PASSED
PrimaryHeaderHelpers.navigateToShippingDetailsPage(),Firefox 95.0,,,2022-01-17 13:12:07,2022-01-17 13:12:10,3.112s,PASSED
PrimaryHeaderHelpers.NavigateToHomePageUsingLogo(),Firefox 95.0,,,2022-01-17 13:12:10,2022-01-17 13:12:15,4.584s,PASSED
PrimaryHeaderHelpers.headerTopBar(),Firefox 95.0,,,2022-01-17 13:12:15,2022-01-17 13:12:19,4.101s,PASSED
PrimaryHeaderHelpers.shippingDetailsAction(),Firefox 95.0,,,2022-01-17 13:12:19,2022-01-17 13:12:20,0.787s,PASSED
PrimaryHeaderHelpers.navigateToShippingDetailsPage(),Firefox 95.0,,,2022-01-17 13:12:20,2022-01-17 13:12:22,2.041s,PASSED
PrimaryHeaderHelpers.NavigateToHomePageUsingLogo(),Firefox 95.0,,,2022-01-17 13:12:22,2022-01-17 13:12:26,3.926s,PASSED
PrimaryHeaderHelpers.customerService(),Firefox 95.0,,,2022-01-17 13:12:26,2022-01-17 13:12:29,3.689s,PASSED
