Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Checkout,Chrome 97.0.4692.71,,,2022-01-15 16:46:02,2022-01-15 16:53:59,7m - 57.401s,PASSED
,,,,,,,
Test Cases/Checkout Scenario/Product Details,Chrome 97.0.4692.71,,,2022-01-15 16:46:02,2022-01-15 16:49:53,3m - 51.128s,PASSED
GeneralHelpers.initScenario(),Chrome 97.0.4692.71,,,2022-01-15 16:46:03,2022-01-15 16:46:20,16.902s,PASSED
GeneralHelpers.headerSearchFillAndClick(),Chrome 97.0.4692.71,,,2022-01-15 16:46:20,2022-01-15 16:46:34,14.100s,PASSED
GeneralHelpers.navigateToResultPage(),Chrome 97.0.4692.71,,,2022-01-15 16:46:34,2022-01-15 16:46:36,2.684s,PASSED
SearchResultPageValidations.verifyDefaultValues(),Chrome 97.0.4692.71,,,2022-01-15 16:46:36,2022-01-15 16:46:46,9.067s,PASSED
SearchResultHelper.checkSearchPagePagination(),Chrome 97.0.4692.71,,,2022-01-15 16:46:46,2022-01-15 16:46:48,2.236s,PASSED
SearchResultHelper.selectProductFilters(),Chrome 97.0.4692.71,,,2022-01-15 16:46:48,2022-01-15 16:46:59,10.805s,PASSED
SearchResultPageActions.NavigateToProductDetailsPage(),Chrome 97.0.4692.71,,,2022-01-15 16:46:59,2022-01-15 16:47:07,7.910s,PASSED
ProductDetailsHelpers.initProductDetailsPage(),Chrome 97.0.4692.71,,,2022-01-15 16:47:07,2022-01-15 16:47:14,7.232s,PASSED
ProductDetailsHelpers.hoverEffectAndClickXLargeSizeLink(),Chrome 97.0.4692.71,,,2022-01-15 16:47:14,2022-01-15 16:47:24,10.430s,PASSED
ProductDetailsHelpers.selectGreenColor(),Chrome 97.0.4692.71,,,2022-01-15 16:47:24,2022-01-15 16:47:28,4.249s,PASSED
ProductDetailsHelpers.addProductToCart(),Chrome 97.0.4692.71,,,2022-01-15 16:47:28,2022-01-15 16:47:31,2.738s,PASSED
