Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Checkout,Chrome 97.0.4692.71,,,2022-01-15 18:15:26,2022-01-15 18:21:23,5m - 57.747s,FAILED
,,,,,,,
Test Cases/Checkout Scenario/Product Details,Chrome 97.0.4692.71,,,2022-01-15 18:15:26,2022-01-15 18:19:14,3m - 48.113s,PASSED
GeneralHelpers.initScenario(),Chrome 97.0.4692.71,,,2022-01-15 18:15:27,2022-01-15 18:15:50,23.094s,PASSED
GeneralHelpers.headerSearchFillAndClick(),Chrome 97.0.4692.71,,,2022-01-15 18:15:50,2022-01-15 18:16:00,10.524s,PASSED
GeneralHelpers.navigateToResultPage(),Chrome 97.0.4692.71,,,2022-01-15 18:16:00,2022-01-15 18:16:03,2.483s,PASSED
SearchResultPageValidations.verifyDefaultValues(),Chrome 97.0.4692.71,,,2022-01-15 18:16:03,2022-01-15 18:16:11,8.363s,PASSED
SearchResultHelper.checkSearchPagePagination(),Chrome 97.0.4692.71,,,2022-01-15 18:16:11,2022-01-15 18:16:13,2.308s,PASSED
SearchResultHelper.selectProductFilters(),Chrome 97.0.4692.71,,,2022-01-15 18:16:13,2022-01-15 18:16:25,11.736s,PASSED
SearchResultPageActions.NavigateToProductDetailsPage(),Chrome 97.0.4692.71,,,2022-01-15 18:16:25,2022-01-15 18:16:32,6.857s,PASSED
ProductDetailsHelpers.initProductDetailsPage(),Chrome 97.0.4692.71,,,2022-01-15 18:16:32,2022-01-15 18:16:39,7.216s,PASSED
ProductDetailsHelpers.hoverEffectAndClickXLargeSizeLink(),Chrome 97.0.4692.71,,,2022-01-15 18:16:39,2022-01-15 18:16:50,10.653s,PASSED
ProductDetailsHelpers.selectGreenColor(),Chrome 97.0.4692.71,,,2022-01-15 18:16:50,2022-01-15 18:16:54,4.129s,PASSED
ProductDetailsHelpers.addProductToCart(),Chrome 97.0.4692.71,,,2022-01-15 18:16:54,2022-01-15 18:16:56,2.465s,PASSED
MiniCartHelpers.hoverOnMiniCartHeader(),Chrome 97.0.4692.71,,,2022-01-15 18:16:56,2022-01-15 18:17:03,6.967s,PASSED
ProductDetailsHelpers.hoverEffectAndClickLargeSizeLink(),Chrome 97.0.4692.71,,,2022-01-15 18:17:03,2022-01-15 18:17:14,10.177s,PASSED
ProductDetailsHelpers.selectRoyalBlueColor(),Chrome 97.0.4692.71,,,2022-01-15 18:17:14,2022-01-15 18:17:17,3.684s,PASSED
ProductDetailsHelpers.addProductToCart(),Chrome 97.0.4692.71,,,2022-01-15 18:17:17,2022-01-15 18:17:20,2.707s,PASSED
MiniCartHelpers.hoverOnMiniCartHeader(),Chrome 97.0.4692.71,,,2022-01-15 18:17:20,2022-01-15 18:17:27,6.894s,PASSED
