Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Header,Chrome 97.0.4692.71,,,2022-01-17 12:55:18,2022-01-17 12:58:12,2m - 54.328s,PASSED
,,,,,,,
Test Cases/Header/Primary Header TC,Chrome 97.0.4692.71,,,2022-01-17 12:55:18,2022-01-17 12:56:44,1m - 25.695s,PASSED
GeneralHelpers.initScenario(),Chrome 97.0.4692.71,,,2022-01-17 12:55:19,2022-01-17 12:55:38,18.602s,PASSED
PrimaryHeaderHelpers.topNav(),Chrome 97.0.4692.71,,,2022-01-17 12:55:38,2022-01-17 12:55:44,6.880s,PASSED
PrimaryHeaderHelpers.NavigateToHomePageUsingLogo(),Chrome 97.0.4692.71,,,2022-01-17 12:55:44,2022-01-17 12:55:49,4.602s,PASSED
PrimaryHeaderHelpers.rightLinkehoverEffect(),Chrome 97.0.4692.71,,,2022-01-17 12:55:49,2022-01-17 12:55:52,2.841s,PASSED
PrimaryHeaderHelpers.cartLinkHover(),Chrome 97.0.4692.71,,,2022-01-17 12:55:52,2022-01-17 12:55:54,2.038s,PASSED
PrimaryHeaderHelpers.myAccountButton(),Chrome 97.0.4692.71,,,2022-01-17 12:55:54,2022-01-17 12:55:55,1.385s,PASSED
PrimaryHeaderHelpers.navigateToQuickOrder(),Chrome 97.0.4692.71,,,2022-01-17 12:55:55,2022-01-17 12:55:59,3.875s,PASSED
PrimaryHeaderHelpers.NavigateToHomePageUsingLogo(),Chrome 97.0.4692.71,,,2022-01-17 12:55:59,2022-01-17 12:56:01,2.085s,PASSED
PrimaryHeaderHelpers.navigateToReOrderPage(),Chrome 97.0.4692.71,,,2022-01-17 12:56:01,2022-01-17 12:56:07,5.673s,PASSED
PrimaryHeaderHelpers.NavigateToHomePageUsingLogo(),Chrome 97.0.4692.71,,,2022-01-17 12:56:07,2022-01-17 12:56:09,2.395s,PASSED
PrimaryHeaderHelpers.navigateToShippingDetailsPage(),Chrome 97.0.4692.71,,,2022-01-17 12:56:09,2022-01-17 12:56:13,3.568s,PASSED
PrimaryHeaderHelpers.NavigateToHomePageUsingLogo(),Chrome 97.0.4692.71,,,2022-01-17 12:56:13,2022-01-17 12:56:16,3.234s,PASSED
PrimaryHeaderHelpers.headerTopBar(),Chrome 97.0.4692.71,,,2022-01-17 12:56:16,2022-01-17 12:56:21,5.042s,PASSED
PrimaryHeaderHelpers.shippingDetailsAction(),Chrome 97.0.4692.71,,,2022-01-17 12:56:21,2022-01-17 12:56:22,1.062s,PASSED
PrimaryHeaderHelpers.navigateToShippingDetailsPage(),Chrome 97.0.4692.71,,,2022-01-17 12:56:22,2022-01-17 12:56:24,1.858s,PASSED
PrimaryHeaderHelpers.NavigateToHomePageUsingLogo(),Chrome 97.0.4692.71,,,2022-01-17 12:56:24,2022-01-17 12:56:27,3.292s,PASSED
PrimaryHeaderHelpers.customerService(),Chrome 97.0.4692.71,,,2022-01-17 12:56:27,2022-01-17 12:56:31,4.104s,PASSED
PrimaryHeaderHelpers.customerServiceLinkAction(),Chrome 97.0.4692.71,,,2022-01-17 12:56:31,2022-01-17 12:56:32,0.984s,PASSED
PrimaryHeaderHelpers.navigateToCustomerServicePage(),Chrome 97.0.4692.71,,,2022-01-17 12:56:32,2022-01-17 12:56:35,2.060s,PASSED
PrimaryHeaderHelpers.NavigateToHomePageUsingLogo(),Chrome 97.0.4692.71,,,2022-01-17 12:56:35,2022-01-17 12:56:38,3.386s,PASSED
closeBrowser(),Chrome 97.0.4692.71,,,2022-01-17 12:56:38,2022-01-17 12:56:38,0.239s,PASSED
Video,Chrome 97.0.4692.71,,,2022-01-17 12:56:44,2022-01-17 12:56:44,0.004s,PASSED
,,,,,,,
