Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Checkout,Firefox 95.0,,,2022-01-17 13:08:04,2022-01-17 13:11:10,3m - 6.034s,FAILED
,,,,,,,
Test Cases/Checkout Scenario/Product Details,Firefox 95.0,,,2022-01-17 13:08:05,2022-01-17 13:09:20,1m - 15.296s,FAILED
GeneralHelpers.initScenario(),Firefox 95.0,,,2022-01-17 13:08:05,2022-01-17 13:08:18,13.349s,PASSED
GeneralHelpers.headerSearchFillAndClick(),Firefox 95.0,,,2022-01-17 13:08:18,2022-01-17 13:08:26,7.728s,PASSED
GeneralHelpers.navigateToResultPage(),Firefox 95.0,,,2022-01-17 13:08:26,2022-01-17 13:08:29,2.978s,PASSED
SearchResultPageValidations.verifyDefaultValues(),Firefox 95.0,,,2022-01-17 13:08:29,2022-01-17 13:08:37,8.197s,PASSED
SearchResultHelper.checkSearchPagePagination(),Firefox 95.0,,,2022-01-17 13:08:37,2022-01-17 13:08:39,2.011s,PASSED
SearchResultHelper.selectProductFilters(),Firefox 95.0,,,2022-01-17 13:08:39,2022-01-17 13:08:49,9.229s,PASSED
SearchResultPageActions.NavigateToProductDetailsPage(),Firefox 95.0,,,2022-01-17 13:08:49,2022-01-17 13:08:54,5.067s,PASSED
ProductDetailsHelpers.initProductDetailsPage(),Firefox 95.0,,,2022-01-17 13:08:54,2022-01-17 13:08:59,5.771s,PASSED
ProductDetailsHelpers.hoverEffectAndClickXLargeSizeLink(),Firefox 95.0,,,2022-01-17 13:08:59,2022-01-17 13:09:08,8.162s,PASSED
ProductDetailsHelpers.selectGreenColor(),Firefox 95.0,,,2022-01-17 13:09:08,2022-01-17 13:09:11,3.056s,PASSED
ProductDetailsHelpers.addProductToCart(),Firefox 95.0,,,2022-01-17 13:09:11,2022-01-17 13:09:14,2.923s,PASSED
MiniCartHelpers.hoverOnMiniCartHeader(),Firefox 95.0,,,2022-01-17 13:09:14,2022-01-17 13:09:19,5.451s,PASSED
ProductDetailsHelpers.hoverEffectAndClickLargeSizeLink(),Firefox 95.0,,,2022-01-17 13:09:19,2022-01-17 13:09:20,0.856s,FAILED
Video,Firefox 95.0,,,2022-01-17 13:09:20,2022-01-17 13:09:20,0.001s,PASSED
,,,,,,,
Test Cases/Checkout Scenario/Category,Firefox 95.0,,,2022-01-17 13:09:20,2022-01-17 13:10:53,1m - 32.992s,PASSED
GeneralHelpers.initScenario(),Firefox 95.0,,,2022-01-17 13:09:20,2022-01-17 13:09:32,12.080s,PASSED
"computerRegister = ""Object Repository/Category/a_ComputerRegister""",Firefox 95.0,,,2022-01-17 13:09:32,2022-01-17 13:09:32,0.009s,PASSED
CategoryScActions.hovertags(),Firefox 95.0,,,2022-01-17 13:09:32,2022-01-17 13:09:34,1.628s,PASSED
"tags = ""Object Repository/Category/a_tags""",Firefox 95.0,,,2022-01-17 13:09:34,2022-01-17 13:09:34,0.001s,PASSED
"CategoryValidations.checkanchorHoverColorBackground(tags, moveColr, whiteColor)",Firefox 95.0,,,2022-01-17 13:09:34,2022-01-17 13:09:35,0.791s,PASSED
CategoryValidations.checkHoverFlyMenuVisibility(),Firefox 95.0,,,2022-01-17 13:09:35,2022-01-17 13:09:35,0.619s,PASSED
CategorySCHelpers.navigateComputerRegister(),Firefox 95.0,,,2022-01-17 13:09:35,2022-01-17 13:09:39,3.091s,PASSED
CategoryValidations.validatespanText(computerRegisterspan),Firefox 95.0,,,2022-01-17 13:09:39,2022-01-17 13:09:43,4.477s,PASSED
CategoryScActions.getDefaultProjectCategoryFilter(expectedProductNum),Firefox 95.0,,,2022-01-17 13:09:43,2022-01-17 13:09:43,0.307s,PASSED
CategoryScActions.getDefaultValueOfSortBy(sortByDefault),Firefox 95.0,,,2022-01-17 13:09:43,2022-01-17 13:09:44,0.315s,PASSED
