Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Footer,Chrome 97.0.4692.71,,,2022-01-16 00:20:55,2022-01-16 00:23:01,2m - 6.545s,PASSED
,,,,,,,
Test Cases/Footer/Footer TC,Chrome 97.0.4692.71,,,2022-01-16 00:20:55,2022-01-16 00:23:01,2m - 6.106s,PASSED
GeneralHelpers.initScenario(),Chrome 97.0.4692.71,,,2022-01-16 00:20:56,2022-01-16 00:21:17,21.575s,PASSED
defaultFooterValidatins.verifyExistingOftopFooterImage(),Chrome 97.0.4692.71,,,2022-01-16 00:21:17,2022-01-16 00:21:19,1.160s,PASSED
defaultFooterValidatins.verifyBackGroundandMaxHeightOfTopFooter(),Chrome 97.0.4692.71,,,2022-01-16 00:21:19,2022-01-16 00:21:21,2.642s,PASSED
defaultFooterValidatins.verifyExistingOffooterBody(),Chrome 97.0.4692.71,,,2022-01-16 00:21:21,2022-01-16 00:21:22,0.528s,PASSED
defaultFooterValidatins.verifyBackGroundandPaddingOfFooterBody(),Chrome 97.0.4692.71,,,2022-01-16 00:21:22,2022-01-16 00:21:22,0.563s,PASSED
defaultFooterValidatins.verifyExistingOffooterBodyRightColomn(),Chrome 97.0.4692.71,,,2022-01-16 00:21:22,2022-01-16 00:21:23,0.405s,PASSED
defaultFooterValidatins.verifyExistingOffooterBodyMiddleColomn(),Chrome 97.0.4692.71,,,2022-01-16 00:21:23,2022-01-16 00:21:23,0.566s,PASSED
defaultFooterValidatins.verifyExistingOffooterBodyLeftColomn(),Chrome 97.0.4692.71,,,2022-01-16 00:21:23,2022-01-16 00:21:24,0.488s,PASSED
defaultFooterValidatins.verifyRequestCatalogueLink(),Chrome 97.0.4692.71,,,2022-01-16 00:21:24,2022-01-16 00:21:37,13.212s,PASSED
defaultFooterValidatins.verifycassifiedListLink(),Chrome 97.0.4692.71,,,2022-01-16 00:21:37,2022-01-16 00:22:10,32.874s,PASSED
defaultFooterValidatins.verifyExistingOfRegionButtonandClickable(),Chrome 97.0.4692.71,,,2022-01-16 00:22:10,2022-01-16 00:22:12,1.819s,PASSED
defaultFooterValidatins.verifyClickingOnFeedBackButtonShowPopUP(),Chrome 97.0.4692.71,,,2022-01-16 00:22:12,2022-01-16 00:22:13,1.678s,PASSED
defaultFooterValidatins.fillModalWithAssertValueAndClose(),Chrome 97.0.4692.71,,,2022-01-16 00:22:13,2022-01-16 00:22:16,3.105s,PASSED
defaultFooterActions.clickpreviouslyOrdered(),Chrome 97.0.4692.71,,,2022-01-16 00:22:16,2022-01-16 00:22:29,12.284s,PASSED
defaultFooterValidatins.verifyClickingPreviouslyOrdered(),Chrome 97.0.4692.71,,,2022-01-16 00:22:29,2022-01-16 00:22:32,3.185s,PASSED
defaultFooterActions.clickQuickOrder(),Chrome 97.0.4692.71,,,2022-01-16 00:22:32,2022-01-16 00:22:37,4.973s,PASSED
defaultFooterValidatins.verifyExistingOfLeftFooterTitle(),Chrome 97.0.4692.71,,,2022-01-16 00:22:37,2022-01-16 00:22:39,2.189s,PASSED
defaultFooterValidatins.verifyExistingOfLeftFooterSubTitle(),Chrome 97.0.4692.71,,,2022-01-16 00:22:39,2022-01-16 00:22:40,0.760s,PASSED
defaultFooterValidatins.verifyExistingOfEmailAndValidatingIt(),Chrome 97.0.4692.71,,,2022-01-16 00:22:40,2022-01-16 00:22:40,0.290s,PASSED
defaultFooterActions.fillEmailSubscriber(),Chrome 97.0.4692.71,,,2022-01-16 00:22:40,2022-01-16 00:22:41,1.274s,PASSED
defaultFooterActions.clickOnSignUpSubscriber(),Chrome 97.0.4692.71,,,2022-01-16 00:22:41,2022-01-16 00:22:43,1.623s,PASSED
defaultFooterValidatins.verifyExistingOfConnectUsTitleandhasexpectedTitle(),Chrome 97.0.4692.71,,,2022-01-16 00:22:43,2022-01-16 00:22:44,0.769s,PASSED
defaultFooterValidatins.verifyEmailContactAddresAndHasExpectedAddress(),Chrome 97.0.4692.71,,,2022-01-16 00:22:44,2022-01-16 00:22:44,0.406s,PASSED
defaultFooterValidatins.verifyExistingangOfEmailIconAndHasExpectedStyle(),Chrome 97.0.4692.71,,,2022-01-16 00:22:44,2022-01-16 00:22:45,0.677s,PASSED
defaultFooterValidatins.verifyContactInfoAddressAsExpected(),Chrome 97.0.4692.71,,,2022-01-16 00:22:45,2022-01-16 00:22:46,0.895s,PASSED
defaultFooterValidatins.verifyExistingangOfPhoneIconAndHasExpectedStyle(),Chrome 97.0.4692.71,,,2022-01-16 00:22:46,2022-01-16 00:22:47,1.094s,PASSED
"english = ""Object Repository/defaultFooter/footerBody/leftColumn/div_englishSpeaking""",Chrome 97.0.4692.71,,,2022-01-16 00:22:47,2022-01-16 00:22:47,0.001s,PASSED
"defaultFooterHelpers.verifyPresentOfContactNumberasExpectedTextAndStyle(english, englishContact)",Chrome 97.0.4692.71,,,2022-01-16 00:22:47,2022-01-16 00:22:48,1.160s,PASSED
"korean = ""Object Repository/defaultFooter/footerBody/leftColumn/div_koreanSpeaking""",Chrome 97.0.4692.71,,,2022-01-16 00:22:48,2022-01-16 00:22:48,0.001s,PASSED
"defaultFooterHelpers.verifyPresentOfContactNumberasExpectedTextAndStyle(korean, koreanSpeaking)",Chrome 97.0.4692.71,,,2022-01-16 00:22:48,2022-01-16 00:22:49,1.046s,PASSED
"international = ""Object Repository/defaultFooter/footerBody/leftColumn/div_internationalOrders""",Chrome 97.0.4692.71,,,2022-01-16 00:22:49,2022-01-16 00:22:49,0.001s,PASSED
"defaultFooterHelpers.verifyPresentOfContactNumberasExpectedTextAndStyle(international, internationalOrdersContact)",Chrome 97.0.4692.71,,,2022-01-16 00:22:49,2022-01-16 00:22:50,1.110s,PASSED
defaultFooterValidatins.verifyLogoExisting(),Chrome 97.0.4692.71,,,2022-01-16 00:22:50,2022-01-16 00:22:51,1.213s,PASSED
defaultFooterValidatins.verifyFaceBookIconExistingAndRedirection(),Chrome 97.0.4692.71,,,2022-01-16 00:22:51,2022-01-16 00:22:52,0.782s,PASSED
defaultFooterValidatins.verifyYoutubeIconExistingAndRedirection(),Chrome 97.0.4692.71,,,2022-01-16 00:22:52,2022-01-16 00:22:53,0.849s,PASSED
defaultFooterValidatins.verifyInstagramIconExistingAndRedirection(),Chrome 97.0.4692.71,,,2022-01-16 00:22:53,2022-01-16 00:22:54,0.921s,PASSED
defaultFooterValidatins.verifylinkedInIconExistingAndRedirection(),Chrome 97.0.4692.71,,,2022-01-16 00:22:54,2022-01-16 00:22:55,0.783s,PASSED
Video,Chrome 97.0.4692.71,,,2022-01-16 00:23:01,2022-01-16 00:23:01,0.002s,PASSED
