Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Header,Chrome 97.0.4692.71,,,2022-01-15 16:45:01,2022-01-15 16:45:52,51.666s,PASSED
,,,,,,,
Test Cases/Header/Primary Header TC,Chrome 97.0.4692.71,,,2022-01-15 16:45:01,2022-01-15 16:45:52,51.217s,PASSED
GeneralHelpers.initScenario(),Chrome 97.0.4692.71,,,2022-01-15 16:45:02,2022-01-15 16:45:26,24.454s,PASSED
PrimaryHeaderHelpers.topNav(),Chrome 97.0.4692.71,,,2022-01-15 16:45:26,2022-01-15 16:45:32,6.385s,PASSED
PrimaryHeaderHelpers.rightLinkehoverEffect(),Chrome 97.0.4692.71,,,2022-01-15 16:45:32,2022-01-15 16:45:35,2.991s,PASSED
PrimaryHeaderHelpers.cartLinkHover(),Chrome 97.0.4692.71,,,2022-01-15 16:45:35,2022-01-15 16:45:38,2.765s,PASSED
PrimaryHeaderHelpers.myAccountButton(),Chrome 97.0.4692.71,,,2022-01-15 16:45:38,2022-01-15 16:45:40,1.372s,PASSED
PrimaryHeaderHelpers.headerTopBar(),Chrome 97.0.4692.71,,,2022-01-15 16:45:40,2022-01-15 16:45:44,4.347s,PASSED
PrimaryHeaderHelpers.shippingDetailsAction(),Chrome 97.0.4692.71,,,2022-01-15 16:45:44,2022-01-15 16:45:45,1.101s,PASSED
PrimaryHeaderHelpers.customerService(),Chrome 97.0.4692.71,,,2022-01-15 16:45:45,2022-01-15 16:45:49,3.611s,PASSED
PrimaryHeaderHelpers.customerServiceLinkAction(),Chrome 97.0.4692.71,,,2022-01-15 16:45:49,2022-01-15 16:45:49,0.816s,PASSED
closeBrowser(),Chrome 97.0.4692.71,,,2022-01-15 16:45:49,2022-01-15 16:45:50,0.151s,PASSED
Video,Chrome 97.0.4692.71,,,2022-01-15 16:45:52,2022-01-15 16:45:52,0.003s,PASSED
